Year,Station,Season,anchovy.y,bluecrab.y,bluefish.y,butter.y,calico.y,clearnosesk.y,cunner.y,dog.y,fluke.y,herring.y,hog.y,horse.y,jack.y,king.y,littlesk.y,lizard.y,mantis.y,menhaden.y,naked.y,pipe.y,puffer.y,robin.y,sand.y,scad.y,scup.y,seabass.y,seagoby.y,silverside.y,smallfl.y,spider.y,spot.y,spothake.y,squid.y,strrobin.y,tautog.y,toad.y,tomcod.y,weak.y,window.y,winterfl.y,wintersk.y,Grand.Total
1996,9,fall,91,1,NA,NA,2,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,7,NA,6,NA,117
1996,2,fall,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,6,NA,19
1996,9,fall,NA,NA,NA,NA,23,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,2,16,NA,NA,NA,NA,2,NA,55
1996,4,fall,7,NA,NA,1,92,NA,NA,NA,1,NA,NA,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,5,4,NA,NA,1,NA,NA,NA,NA,1,3,1,1,122
1996,2,fall,10,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,44,NA,NA,NA,1,NA,NA,NA,NA,3,16,NA,97
1996,5,fall,NA,2,NA,NA,23,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5,40
1996,8,fall,NA,NA,NA,NA,17,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,2,NA,21,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,54
1996,6,fall,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,30
1997,5,spring,NA,NA,NA,NA,15,NA,NA,NA,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,1,NA,1,2,2,47
1997,6,spring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,35
1997,5,spring,NA,NA,NA,NA,11,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,3,2,NA,23
1997,8,spring,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,30,NA,NA,NA,NA,1,NA,1,NA,NA,3,NA,43
1997,7,spring,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,NA,3,NA,NA,NA,NA,1,3,NA,39
1997,9,spring,NA,NA,NA,NA,204,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,40,NA,251
1997,2,summer,NA,NA,NA,NA,85,NA,NA,NA,11,NA,NA,5,NA,NA,NA,NA,2,108,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,19,NA,NA,1,NA,NA,NA,NA,5,NA,27,NA,264
1997,8,summer,NA,NA,NA,6,82,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,2,7,NA,NA,2,1,1,NA,NA,NA,1,30,NA,139
1997,5,summer,10,NA,NA,1,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,27,1,59,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,166
1997,6,summer,NA,NA,NA,NA,282,NA,NA,NA,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,76,NA,NA,1,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,434
1997,7,summer,1,1,NA,NA,272,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,46,NA,NA,NA,NA,53,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,379
1997,1,summer,NA,NA,NA,1,115,NA,NA,NA,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,11,NA,NA,1,NA,17,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,158
1997,9,summer,59,NA,NA,4,89,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,17,1,NA,NA,2,NA,NA,NA,118,NA,NA,NA,NA,2,NA,NA,NA,4,NA,NA,NA,40,NA,5,NA,343
1997,9,fall,20,NA,NA,NA,59,NA,NA,NA,3,NA,NA,2,NA,1,NA,4,3,NA,1,NA,1,NA,NA,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,27,2,4,NA,238
1997,2,fall,NA,NA,NA,NA,291,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,4,2,NA,NA,1,NA,NA,NA,NA,265,NA,NA,NA,1,9,1,NA,NA,6,NA,NA,NA,7,NA,12,NA,609
1997,4,fall,NA,NA,NA,NA,287,NA,1,NA,1,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,37,4,NA,NA,118,1,NA,NA,NA,20,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,479
1997,8,fall,NA,NA,NA,NA,106,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,49,NA,NA,NA,NA,2,NA,NA,NA,1,1,NA,NA,NA,NA,2,NA,169
1997,4,fall,NA,NA,NA,NA,151,NA,NA,1,1,NA,NA,7,NA,1,NA,1,NA,NA,NA,NA,2,2,NA,NA,99,1,NA,NA,3,29,NA,NA,NA,3,2,NA,NA,NA,NA,5,NA,308
1997,7,fall,NA,NA,NA,NA,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242
1997,5,fall,NA,NA,NA,NA,213,NA,NA,NA,1,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,36,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,262
1997,9,fall,25,1,NA,2,158,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,338,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,7,3,16,NA,564
1997,2,fall,10,NA,NA,NA,21,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,35,NA,NA,NA,1,2,NA,NA,1,1,NA,NA,NA,NA,4,11,NA,95
1997,7,fall,1,NA,NA,NA,313,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325
1997,4,fall,NA,NA,NA,NA,126,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,19,1,1,NA,3,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,171
1997,2,fall,NA,NA,NA,NA,25,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2,NA,NA,2,2,NA,NA,NA,NA,3,4,3,48
1997,5,fall,NA,NA,NA,NA,143,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,156
1997,3,fall,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,2,6,NA,NA,1,2,2,NA,NA,NA,1,NA,4,121
1997,7,fall,NA,NA,NA,NA,29,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,40
1998,5,spring,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,5,3,1,85
1998,9,spring,1,NA,NA,NA,23,NA,NA,NA,NA,39,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,1,NA,NA,12,NA,92
1998,7,spring,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,22,NA,1,NA,NA,NA,NA,NA,NA,1,5,NA,46
1998,9,spring,20,NA,NA,NA,47,NA,NA,NA,1,88,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,4,10,NA,181
1998,1,spring,NA,NA,NA,NA,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,1,10,NA,222
1998,7,spring,NA,NA,NA,NA,38,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,2,NA,NA,2,NA,NA,NA,NA,2,NA,55
1998,9,spring,35,1,NA,NA,159,NA,NA,1,1,105,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,12,NA,4,NA,NA,NA,NA,NA,3,NA,14,NA,338
1998,3,spring,NA,NA,NA,NA,201,NA,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,68,NA,4,1,2,NA,NA,NA,NA,NA,31,NA,316
1998,7,spring,NA,NA,NA,NA,21,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,49
1998,8,spring,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,11,NA,NA,NA,NA,3,NA,NA,NA,NA,11,NA,32
1998,1,spring,NA,NA,NA,NA,64,1,NA,NA,2,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,1,NA,NA,61,NA,NA,1,NA,NA,NA,NA,NA,3,12,NA,153
1998,4,spring,NA,NA,NA,NA,59,NA,NA,NA,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,NA,6,38,NA,NA,4,NA,1,NA,NA,NA,1,13,NA,230
1998,6,spring,NA,NA,NA,NA,68,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,1,NA,NA,NA,NA,1,5,NA,92
1998,9,spring,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,2,15,NA,78
1998,9,summer,NA,NA,NA,NA,196,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,3,14,NA,251
1998,1,summer,NA,NA,NA,NA,62,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,12,NA,19,NA,NA,NA,NA,4,NA,NA,NA,NA,6,NA,108
1998,4,summer,NA,NA,NA,NA,384,NA,1,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,1,NA,4,71,NA,1,NA,NA,3,1,NA,NA,1,16,NA,597
1998,7,summer,NA,NA,NA,NA,24,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,46
1998,6,summer,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,100
1998,2,summer,NA,NA,NA,NA,157,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,20,NA,NA,1,3,NA,NA,NA,4,NA,NA,NA,NA,27,NA,NA,2,NA,NA,NA,NA,4,NA,12,NA,235
1998,3,summer,1,NA,NA,NA,187,NA,NA,NA,2,NA,NA,1,NA,1,NA,NA,3,NA,1,NA,2,NA,NA,NA,14,NA,1,NA,1,12,NA,NA,6,1,NA,NA,NA,NA,NA,23,NA,256
1998,9,summer,11,2,NA,NA,121,NA,NA,NA,1,NA,1,2,NA,1,NA,NA,4,NA,NA,1,7,NA,NA,NA,3,NA,NA,21,NA,1,NA,NA,1,NA,NA,NA,NA,3,2,14,NA,196
1998,3,summer,NA,NA,NA,NA,105,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,23,NA,NA,1,NA,1,3,NA,2,1,33,NA,180
1998,1,summer,25,NA,NA,1,307,NA,NA,NA,2,NA,NA,5,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,324,NA,NA,NA,NA,20,NA,NA,1,6,NA,NA,NA,NA,NA,5,NA,701
1998,2,summer,1443,5,NA,14,172,NA,NA,1,4,NA,NA,3,NA,2,NA,1,8,2,NA,NA,5,NA,NA,NA,1477,NA,NA,5,2,9,NA,NA,3,5,NA,NA,NA,1,1,24,NA,3187
1998,8,summer,NA,1,NA,NA,390,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,2,NA,NA,2,9,NA,NA,NA,347,NA,NA,NA,NA,17,NA,NA,1,11,NA,1,NA,NA,1,3,NA,788
1998,5,summer,NA,NA,NA,NA,160,NA,NA,NA,1,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,1220,1,NA,NA,2,22,NA,NA,2,1,NA,NA,NA,NA,NA,10,NA,1434
1998,9,summer,110,NA,NA,NA,54,NA,NA,NA,6,NA,NA,1,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,56,NA,1,NA,NA,3,NA,NA,1,2,NA,NA,NA,NA,NA,2,NA,245
1998,3,fall,103,NA,NA,7,76,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,NA,NA,NA,2560,NA,NA,NA,NA,1,NA,NA,1,2,NA,NA,NA,NA,2,19,NA,2779
1998,7,fall,NA,NA,NA,NA,138,NA,NA,1,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,206,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,383
1998,7,fall,NA,NA,NA,NA,187,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,68,7,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,273
1998,8,fall,NA,1,NA,NA,105,NA,NA,NA,NA,NA,NA,3,NA,1,NA,3,NA,NA,NA,NA,1,NA,NA,NA,92,NA,NA,NA,3,8,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,220
1998,9,fall,17,3,4,18,87,NA,NA,NA,3,NA,NA,1,NA,NA,NA,2,15,NA,NA,3,NA,NA,NA,NA,323,NA,NA,NA,NA,2,NA,NA,NA,4,1,2,NA,3,4,NA,NA,492
1998,5,fall,NA,1,NA,NA,375,1,NA,1,NA,NA,NA,10,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,137,NA,NA,NA,3,13,NA,NA,1,3,NA,NA,NA,NA,NA,NA,1,554
1998,5,fall,5,NA,NA,NA,273,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,19,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,315
1998,1,fall,NA,5,NA,NA,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,1,8,NA,NA,NA,NA,NA,NA,NA,NA,1,9,1,196
1998,7,fall,NA,NA,NA,NA,122,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,129
1999,5,spring,NA,NA,NA,NA,49,NA,1,NA,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,1,NA,NA,NA,NA,2,2,144
1999,8,spring,NA,NA,NA,NA,15,NA,2,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,21,NA,1,NA,NA,NA,NA,NA,NA,1,8,NA,55
1999,1,spring,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,123
1999,8,spring,NA,1,NA,NA,3,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69
1999,7,spring,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
1999,9,spring,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7,NA,1,NA,2,NA,NA,NA,NA,NA,11,NA,30
1999,2,spring,5,1,NA,NA,393,1,NA,NA,1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,39,NA,NA,NA,7,NA,NA,NA,NA,NA,5,NA,464
1999,3,spring,NA,NA,NA,NA,124,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,2,NA,NA,NA,NA,NA,5,NA,146
1999,4,spring,NA,NA,NA,NA,61,NA,2,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,2,27,NA,NA,2,1,1,1,NA,NA,1,2,NA,107
1999,5,spring,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,35,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,147
1999,7,spring,NA,NA,NA,NA,8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
1999,1,spring,3,1,NA,NA,33,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,40,NA,1,NA,NA,NA,NA,NA,NA,NA,13,NA,95
1999,3,spring,NA,NA,NA,NA,115,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,75,NA,NA,1,NA,NA,NA,NA,NA,2,9,NA,208
1999,4,spring,NA,NA,NA,NA,66,NA,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,2,1,3,NA,NA,NA,NA,17,NA,133
1999,7,spring,NA,NA,NA,NA,118,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,19,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,145
1999,8,spring,NA,NA,NA,NA,689,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,6,44,NA,NA,1,NA,NA,NA,NA,NA,4,35,NA,785
1999,5,summer,NA,NA,NA,NA,344,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,NA,4,NA,NA,62,NA,NA,2,NA,NA,NA,NA,NA,NA,3,NA,422
1999,2,summer,NA,NA,NA,NA,84,1,1,2,6,NA,NA,1,NA,NA,NA,NA,2,NA,1,2,3,NA,NA,NA,57,NA,NA,250,1,24,NA,NA,5,NA,NA,NA,NA,4,1,13,NA,458
1999,4,summer,NA,NA,NA,NA,90,NA,NA,18,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,157,NA,NA,NA,4,17,NA,NA,2,NA,NA,NA,NA,NA,NA,8,NA,302
1999,9,summer,NA,NA,NA,NA,45,NA,NA,NA,1,NA,2,1,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,1,11,NA,NA,37,2,NA,NA,NA,NA,11,NA,NA,NA,52,3,12,NA,183
1999,1,summer,629,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,8,2,8,NA,NA,NA,NA,31,NA,NA,16,NA,8,NA,NA,9,NA,1,NA,NA,NA,NA,1,NA,717
1999,2,summer,2,1,NA,1,72,NA,NA,5,4,NA,NA,2,NA,NA,NA,NA,7,NA,NA,4,1,NA,NA,NA,40,NA,NA,14,NA,19,NA,NA,NA,3,1,1,NA,NA,NA,5,NA,182
1999,8,summer,NA,NA,NA,NA,63,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,187,NA,92,NA,NA,2,1,8,NA,NA,NA,NA,6,NA,365
1999,6,summer,NA,NA,NA,2,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,9,1,NA,NA,NA,17,NA,NA,2,1,NA,1,NA,1,NA,NA,NA,82
1999,8,summer,NA,1,NA,NA,40,NA,NA,1,8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,6,NA,NA,NA,7,NA,NA,NA,3,41,NA,NA,1,3,2,NA,NA,1,1,6,NA,123
1999,9,summer,1,NA,NA,NA,41,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,129,NA,NA,1,1,NA,NA,NA,7,1,1,NA,192
1999,9,summer,3,2,NA,1,121,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,16,NA,NA,NA,3,NA,NA,NA,9,NA,NA,NA,NA,14,NA,NA,10,35,NA,NA,NA,91,NA,1,NA,309
1999,7,summer,NA,NA,NA,NA,29,NA,19,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,13,NA,NA,1,NA,6,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,76
1999,1,summer,NA,NA,NA,NA,93,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,6,NA,NA,NA,183,NA,NA,2,NA,35,NA,NA,NA,NA,NA,NA,NA,1,NA,5,NA,327
1999,4,summer,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,13,3,NA,NA,1,20,NA,NA,NA,8,NA,1,NA,1,NA,NA,NA,114
1999,9,summer,3,2,7,NA,149,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,26,1,NA,1,3,NA,NA,NA,121,NA,NA,NA,NA,10,NA,NA,1,23,NA,NA,NA,15,1,1,NA,366
1999,3,fall,NA,NA,NA,3,58,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,1578,1,NA,NA,6,7,NA,NA,NA,NA,NA,1,NA,10,NA,9,NA,1688
1999,7,fall,NA,NA,NA,NA,84,NA,11,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,NA,NA,29,1,NA,NA,NA,8,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,146
1999,4,fall,NA,NA,NA,NA,50,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,520,NA,NA,NA,2,4,NA,NA,1,1,2,1,NA,NA,NA,1,NA,587
1999,8,fall,NA,6,NA,NA,279,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,691,NA,NA,NA,2,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,983
1999,6,fall,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,NA,NA,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,168
1999,7,fall,NA,NA,NA,NA,192,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2,2,NA,NA,NA,32,3,NA,NA,NA,1,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,241
1999,6,fall,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67
